id,title,year,doi,abstract,source
P001,Thermal Management Strategies for HBM in 2.5D and 3D Advanced Packaging,2024,10.1109/example.001,"This paper reviews thermal resistance network modeling for High Bandwidth Memory stacks integrated with logic dies in 2.5D and 3D packages. It examines the impact of thermal interface material thickness and conductivity on junction temperature. Limitations include steady-state-only analysis and lack of thermo-mechanical stress evaluation.",Sample corpus
P002,Localized Cooling Structures for D2D PHY Hotspots in Stacked Memory Packages,2025,10.1109/example.002,"This study proposes a localized cooling structure near the die-to-die interface to address concentrated heat generation in stacked memory packages. It reports reduced local thermal resistance in finite-element simulation and identifies the need for warpage and thermal-cycling reliability evaluation.",Sample corpus
P003,Thermo-Mechanical Reliability of TIM Layers in 3D IC Packages Under Thermal Cycling,2023,10.1109/example.003,"This work investigates fatigue behavior of thermal interface materials under repeated thermal cycling in 3D IC packages using warpage measurement and finite-element analysis. It identifies CTE mismatch as a dominant driver of interfacial delamination.",Sample corpus
P004,Microfluidic Cooling for High-Power-Density 3D Stacked Chips,2024,10.1109/example.004,"This paper evaluates microfluidic cooling channels embedded within silicon interposers for high-power 3D stacked chips. The approach targets peak junction-temperature reduction under transient power loads.",Sample corpus
P005,Contact Thermal Resistance Measurement Methods for Semiconductor Packages,2022,10.1109/example.005,"This study compares transient thermal measurement methods for quantifying interfacial contact thermal resistance in assembled semiconductor packages. It highlights sensitivity to assembly pressure and surface roughness.",Sample corpus
P006,Conjugate heat transfer simulations of a radially cooled gas turbine blade leading edge using a vortex-based fluidic oscillator for sweeping jet impingement,2024,10.1063/5.0226233,"The turbine blades of aero engines are subjected to extremely high temperatures, particularly at the leading edge, where temperatures can reach approximately 1800–2000 K. Therefore, effective heat load management is crucial. A vortex-based fluidic oscillator for sweeping jet impingement was proposed as an innovative cooling method to enhance heat transfer at leading edge of high-pressure gas turbine blades. This numerical investigation evaluates the cooling performance of a vortex-based sweeping jet compared to steady and conventional sweeping jets in a radially cooled high-pressure turbine blade. In this study, a conjugate heat transfer model based on three-dimensional unsteady Reynolds-averaged Navier–Stokes (URANS) equations is employed. The shear stress transport (SST k–ω) model is specifically selected to predict the flow field and heat transfer characteristics of a vortex-based fluidic oscillator applied to the leading edge. To verify the accuracy of numerical calculations, two sets of experimental data were used as benchmark. The results demonstrated strong qualitative and quantitative agreement with experimental data. Various parameters, including coolant mass flow rates (0.171, 0.514, and 0.857 g/s), aspect ratios (0.5, 0.65, and 1), jet-to-wall spacings (H/D = 2, 4, and 6), and pressure drop, were examined to assess overall cooling effectiveness and heat transfer performance. Time-averaged and time-resolved flow field measurements revealed that vortex-based fluidic oscillator significantly enhanced cooling effects and covered a larger impinging area compared to a steady jet. Notably, the vortex-based fluidic oscillator achieved a 24.3% higher heat transfer performance than the steady jet at H/D = 2, with an average temperature decrease in approximately 21 K at leading edge.",Semantic Scholar
P007,Conjugate heat transfer simulations of a radially cooled gas turbine blade leading edge using a vortex-based fluidic oscillator for sweeping jet impingement,2024,10.1063/5.0226233,"The turbine blades of aero engines are subjected to extremely high temperatures, particularly at the leading edge, where temperatures can reach approximately 1800–2000 K. Therefore, effective heat load management is crucial. A vortex-based fluidic oscillator for sweeping jet impingement was proposed as an innovative cooling method to enhance heat transfer at leading edge of high-pressure gas turbine blades. This numerical investigation evaluates the cooling performance of a vortex-based sweeping jet compared to steady and conventional sweeping jets in a radially cooled high-pressure turbine blade. In this study, a conjugate heat transfer model based on three-dimensional unsteady Reynolds-averaged Navier–Stokes (URANS) equations is employed. The shear stress transport (SST k–ω) model is specifically selected to predict the flow field and heat transfer characteristics of a vortex-based fluidic oscillator applied to the leading edge. To verify the accuracy of numerical calculations, two sets of experimental data were used as benchmark. The results demonstrated strong qualitative and quantitative agreement with experimental data. Various parameters, including coolant mass flow rates (0.171, 0.514, and 0.857 g/s), aspect ratios (0.5, 0.65, and 1), jet-to-wall spacings (H/D = 2, 4, and 6), and pressure drop, were examined to assess overall cooling effectiveness and heat transfer performance. Time-averaged and time-resolved flow field measurements revealed that vortex-based fluidic oscillator significantly enhanced cooling effects and covered a larger impinging area compared to a steady jet. Notably, the vortex-based fluidic oscillator achieved a 24.3% higher heat transfer performance than the steady jet at H/D = 2, with an average temperature decrease in approximately 21 K at leading edge.",Semantic Scholar
P008,Numerical study of particle deposition and heat transfer characteristics in an S-shaped miniature cooling channel of a gas turbine blade,2025,10.1016/j.powtec.2025.121612,"not reported",Semantic Scholar
P009,Rotating Flow and Heat Transfer Characteristics of a Novel Cooling Channel for Gas Turbine Blade Trailing Edge with Diamond-Type Tpms Structures,2024,10.1115/1.4065157,"
 This work designs a Diamond-type triply periodic minimal surface (TPMS) structure that exhibits excellent thermomechanical properties in a gas turbine blade trailing edge to enhance thermal performance and improve heat transfer uniformity. Since the velocity and temperature distributions are altered in the rotating trailing edge channel, the flow and heat transfer characteristics of the baseline pin fin and Diamond TPMS models are numerically investigated at the Reynolds number of 10,000 and the rotation numbers of 0.0-0.28. Compared to the baseline model, the Diamond TPMS network significantly decreases recirculation flow at the inner wall, improving heat transfer, especially at the tip and outlet regions. Although the Diamond TPMS model incurs substantial pressure losses from 191% to 234%, it yields significantly higher overall heat transfer than the pin fins by 179%. Consequently, the thermal performance is increased by 93.4%. The flow fluctuations due to the rotating effects are minor in the Diamond TPMS architecture, considerably reducing the differences in heat transfer between the leading and trailing walls. The differences in the wetted-area averaged Nusselt number of the baseline and Diamond TPMS models within the studied rotation numbers are 8.5-14.4% and 9-8.3%, respectively. Moreover, the Diamond TPMS structure reduces the differences in heat transfer between the root and tip regions at the outlet by up to 80% compared to the pin fins. This improvement helps protect the trailing edge from thermal failure, thereby potentially prolonging the gas turbine blade's lifetime.",Semantic Scholar
P010,Bionic microchannels and nanoflows synergistically enhance heat transfer performance of semiconductor laser heat sinks,2025,10.1016/j.csite.2025.107243,"not reported",Semantic Scholar
